主城市,迁出城市,迁出省份,比例,日期
成都,黔南布依族苗族自治州,贵州省,0.08,2020/1/1
成都,宝鸡市,陕西省,0.08,2020/1/1
成都,安康市,陕西省,0.08,2020/1/1
成都,曲靖市,云南省,0.08,2020/1/1
成都,桂林市,广西壮族自治区,0.08,2020/1/1
成都,北海市,广西壮族自治区,0.07,2020/1/1
成都,洛阳市,河南省,0.07,2020/1/1
成都,宁波市,浙江省,0.07,2020/1/1
成都,海口市,海南省,0.07,2020/1/1
成都,无锡市,江苏省,0.07,2020/1/1
成都,保定市,河北省,0.07,2020/1/1
成都,泉州市,福建省,0.07,2020/1/1
成都,银川市,宁夏回族自治区,0.07,2020/1/1
成都,大连市,辽宁省,0.07,2020/1/1
成都,荆州市,湖北省,0.07,2020/1/1
成都,西双版纳傣族自治州,云南省,0.06,2020/1/1
成都,宜昌市,湖北省,0.06,2020/1/1
成都,天水市,甘肃省,0.06,2020/1/1
成都,运城市,山西省,0.06,2020/1/1
成都,楚雄彝族自治州,云南省,0.06,2020/1/1
成都,渭南市,陕西省,0.06,2020/1/1
成都,惠州市,广东省,0.05,2020/1/1
成都,嘉兴市,浙江省,0.05,2020/1/1
成都,六盘水市,贵州省,0.05,2020/1/1
成都,徐州市,江苏省,0.05,2020/1/1
成都,襄阳市,湖北省,0.05,2020/1/1
成都,南阳市,河南省,0.05,2020/1/1
成都,黔西南布依族苗族自治州,贵州省,0.05,2020/1/1
成都,廊坊市,河北省,0.05,2020/1/1
成都,珠海市,广东省,0.05,2020/1/1
成都,榆林市,陕西省,0.05,2020/1/1
成都,安顺市,贵州省,0.04,2020/1/1
成都,定西市,甘肃省,0.04,2020/1/1
成都,中山市,广东省,0.04,2020/1/1
成都,台州市,浙江省,0.04,2020/1/1
成都,常州市,江苏省,0.04,2020/1/1
成都,眉山市,四川省,7.73,2020/1/2
成都,德阳市,四川省,7.58,2020/1/2
成都,重庆市,重庆市,6.49,2020/1/2
成都,绵阳市,四川省,5.82,2020/1/2
成都,南充市,四川省,5.23,2020/1/2
成都,资阳市,四川省,4.15,2020/1/2
成都,内江市,四川省,4.1,2020/1/2
成都,乐山市,四川省,3.99,2020/1/2
成都,遂宁市,四川省,3.66,2020/1/2
成都,达州市,四川省,3.34,2020/1/2
成都,宜宾市,四川省,3.29,2020/1/2
成都,阿坝藏族羌族自治州,四川省,2.71,2020/1/2
成都,雅安市,四川省,2.7,2020/1/2
成都,凉山彝族自治州,四川省,2.69,2020/1/2
成都,巴中市,四川省,2.53,2020/1/2
成都,自贡市,四川省,2.44,2020/1/2
成都,泸州市,四川省,2.31,2020/1/2
成都,广元市,四川省,2.29,2020/1/2
成都,广安市,四川省,1.71,2020/1/2
成都,北京市,北京市,1.61,2020/1/2
成都,甘孜藏族自治州,四川省,1.12,2020/1/2
成都,西安市,陕西省,1.06,2020/1/2
成都,攀枝花市,四川省,0.95,2020/1/2
成都,上海市,上海市,0.86,2020/1/2
成都,贵阳市,贵州省,0.72,2020/1/2
成都,昆明市,云南省,0.69,2020/1/2
成都,广州市,广东省,0.66,2020/1/2
成都,深圳市,广东省,0.64,2020/1/2
成都,遵义市,贵州省,0.41,2020/1/2
成都,三亚市,海南省,0.39,2020/1/2
成都,昭通市,云南省,0.35,2020/1/2
成都,武汉市,湖北省,0.32,2020/1/2
成都,杭州市,浙江省,0.32,2020/1/2
成都,兰州市,甘肃省,0.29,2020/1/2
成都,汉中市,陕西省,0.28,2020/1/2
成都,郑州市,河南省,0.28,2020/1/2
成都,长沙市,湖南省,0.27,2020/1/2
成都,西宁市,青海省,0.24,2020/1/2
成都,乌鲁木齐市,新疆维吾尔自治区,0.24,2020/1/2
成都,天津市,天津市,0.22,2020/1/2
成都,南京市,江苏省,0.2,2020/1/2
成都,毕节市,贵州省,0.19,2020/1/2
成都,拉萨市,西藏自治区,0.19,2020/1/2
成都,南宁市,广西壮族自治区,0.19,2020/1/2
成都,厦门市,福建省,0.19,2020/1/2
成都,苏州市,江苏省,0.18,2020/1/2
成都,陇南市,甘肃省,0.17,2020/1/2
成都,东莞市,广东省,0.15,2020/1/2
成都,青岛市,山东省,0.15,2020/1/2
成都,哈尔滨市,黑龙江省,0.14,2020/1/2
成都,石家庄市,河北省,0.14,2020/1/2
成都,无锡市,江苏省,0.14,2020/1/2
成都,佛山市,广东省,0.14,2020/1/2
成都,济南市,山东省,0.14,2020/1/2
成都,合肥市,安徽省,0.14,2020/1/2
成都,咸阳市,陕西省,0.13,2020/1/2
成都,太原市,山西省,0.13,2020/1/2
成都,福州市,福建省,0.13,2020/1/2
成都,北海市,广西壮族自治区,0.13,2020/1/2
成都,南昌市,江西省,0.13,2020/1/2
成都,沈阳市,辽宁省,0.12,2020/1/2
成都,保定市,河北省,0.12,2020/1/2
成都,丽江市,云南省,0.12,2020/1/2
成都,大理白族自治州,云南省,0.12,2020/1/2
成都,海口市,海南省,0.12,2020/1/2
成都,恩施土家族苗族自治州,湖北省,0.12,2020/1/2
成都,桂林市,广西壮族自治区,0.11,2020/1/2
成都,宁波市,浙江省,0.11,2020/1/2
成都,洛阳市,河南省,0.11,2020/1/2
成都,曲靖市,云南省,0.1,2020/1/2
成都,安康市,陕西省,0.1,2020/1/2
成都,宝鸡市,陕西省,0.1,2020/1/2
成都,黔南布依族苗族自治州,贵州省,0.1,2020/1/2
成都,荆州市,湖北省,0.1,2020/1/2
成都,嘉兴市,浙江省,0.09,2020/1/2
成都,大连市,辽宁省,0.09,2020/1/2
成都,六盘水市,贵州省,0.09,2020/1/2
成都,珠海市,广东省,0.09,2020/1/2
成都,宜昌市,湖北省,0.09,2020/1/2
成都,长春市,吉林省,0.09,2020/1/2
成都,西双版纳傣族自治州,云南省,0.09,2020/1/2
成都,渭南市,陕西省,0.08,2020/1/2
成都,温州市,浙江省,0.08,2020/1/2
成都,陵水黎族自治县,海南省,0.08,2020/1/2
成都,廊坊市,河北省,0.08,2020/1/2
成都,江门市,广东省,0.07,2020/1/2
成都,银川市,宁夏回族自治区,0.07,2020/1/2
成都,襄阳市,湖北省,0.07,2020/1/2
成都,呼和浩特市,内蒙古自治区,0.07,2020/1/2
成都,运城市,山西省,0.07,2020/1/2
成都,天水市,甘肃省,0.07,2020/1/2
成都,邯郸市,河北省,0.07,2020/1/2
成都,惠州市,广东省,0.07,2020/1/2
成都,黔东南苗族侗族自治州,贵州省,0.07,2020/1/2
成都,泉州市,福建省,0.07,2020/1/2
成都,安顺市,贵州省,0.06,2020/1/2
成都,南阳市,河南省,0.06,2020/1/2
成都,楚雄彝族自治州,云南省,0.06,2020/1/2
成都,文昌市,海南省,0.06,2020/1/2
成都,中山市,广东省,0.06,2020/1/2
成都,德阳市,四川省,10.35,2020/1/3
成都,眉山市,四川省,9.61,2020/1/3
成都,绵阳市,四川省,6.91,2020/1/3
成都,重庆市,重庆市,6.72,2020/1/3
成都,乐山市,四川省,5.03,2020/1/3
成都,南充市,四川省,4.96,2020/1/3
成都,资阳市,四川省,4.82,2020/1/3
成都,内江市,四川省,4.32,2020/1/3
成都,遂宁市,四川省,3.74,2020/1/3
成都,雅安市,四川省,3.02,2020/1/3
成都,宜宾市,四川省,2.99,2020/1/3
成都,达州市,四川省,2.71,2020/1/3
成都,阿坝藏族羌族自治州,四川省,2.63,2020/1/3
成都,自贡市,四川省,2.5,2020/1/3
成都,凉山彝族自治州,四川省,2.22,2020/1/3
成都,巴中市,四川省,2.16,2020/1/3
成都,泸州市,四川省,2.11,2020/1/3
成都,广元市,四川省,2.04,2020/1/3
成都,广安市,四川省,1.54,2020/1/3
成都,北京市,北京市,1.1,2020/1/3
成都,甘孜藏族自治州,四川省,0.96,2020/1/3
成都,西安市,陕西省,0.86,2020/1/3
成都,攀枝花市,四川省,0.67,2020/1/3
成都,上海市,上海市,0.62,2020/1/3
成都,贵阳市,贵州省,0.59,2020/1/3
成都,昆明市,云南省,0.56,2020/1/3
成都,深圳市,广东省,0.48,2020/1/3
成都,广州市,广东省,0.47,2020/1/3
成都,遵义市,贵州省,0.38,2020/1/3
成都,昭通市,云南省,0.32,2020/1/3
成都,三亚市,海南省,0.29,2020/1/3
成都,武汉市,湖北省,0.28,2020/1/3
成都,兰州市,甘肃省,0.24,2020/1/3
成都,汉中市,陕西省,0.24,2020/1/3
成都,杭州市,浙江省,0.24,2020/1/3
成都,长沙市,湖南省,0.22,2020/1/3
成都,西宁市,青海省,0.22,2020/1/3
成都,郑州市,河南省,0.22,2020/1/3
成都,南京市,江苏省,0.18,2020/1/3
成都,天津市,天津市,0.16,2020/1/3
成都,厦门市,福建省,0.15,2020/1/3
成都,拉萨市,西藏自治区,0.15,2020/1/3
成都,毕节市,贵州省,0.15,2020/1/3
成都,苏州市,江苏省,0.15,2020/1/3
成都,乌鲁木齐市,新疆维吾尔自治区,0.14,2020/1/3
成都,陇南市,甘肃省,0.14,2020/1/3
成都,合肥市,安徽省,0.13,2020/1/3
成都,哈尔滨市,黑龙江省,0.13,2020/1/3
成都,济南市,山东省,0.12,2020/1/3
成都,石家庄市,河北省,0.12,2020/1/3
成都,南宁市,广西壮族自治区,0.12,2020/1/3
成都,太原市,山西省,0.12,2020/1/3
成都,大理白族自治州,云南省,0.11,2020/1/3
成都,青岛市,山东省,0.11,2020/1/3
成都,东莞市,广东省,0.11,2020/1/3
成都,无锡市,江苏省,0.11,2020/1/3
成都,南昌市,江西省,0.1,2020/1/3
成都,咸阳市,陕西省,0.1,2020/1/3
成都,丽江市,云南省,0.1,2020/1/3
成都,佛山市,广东省,0.1,2020/1/3
成都,北海市,广西壮族自治区,0.09,2020/1/3
成都,黔南布依族苗族自治州,贵州省,0.09,2020/1/3
成都,长春市,吉林省,0.09,2020/1/3
成都,福州市,福建省,0.09,2020/1/3
成都,沈阳市,辽宁省,0.09,2020/1/3
成都,温州市,浙江省,0.09,2020/1/3
成都,宝鸡市,陕西省,0.08,2020/1/3
成都,洛阳市,河南省,0.08,2020/1/3
成都,海口市,海南省,0.08,2020/1/3
成都,银川市,宁夏回族自治区,0.08,2020/1/3
成都,宁波市,浙江省,0.08,2020/1/3
成都,珠海市,广东省,0.07,2020/1/3
成都,保定市,河北省,0.07,2020/1/3
成都,西双版纳傣族自治州,云南省,0.07,2020/1/3
成都,江门市,广东省,0.07,2020/1/3
成都,安康市,陕西省,0.07,2020/1/3
成都,恩施土家族苗族自治州,湖北省,0.07,2020/1/3
成都,宜昌市,湖北省,0.06,2020/1/3
成都,南阳市,河南省,0.06,2020/1/3
成都,曲靖市,云南省,0.06,2020/1/3
成都,桂林市,广西壮族自治区,0.06,2020/1/3
成都,荆州市,湖北省,0.06,2020/1/3
成都,渭南市,陕西省,0.06,2020/1/3
成都,泉州市,福建省,0.06,2020/1/3
成都,六盘水市,贵州省,0.06,2020/1/3
成都,廊坊市,河北省,0.06,2020/1/3
成都,邯郸市,河北省,0.06,2020/1/3
成都,中山市,广东省,0.05,2020/1/3
成都,运城市,山西省,0.05,2020/1/3
成都,孝感市,湖北省,0.05,2020/1/3
成都,黔东南苗族侗族自治州,贵州省,0.05,2020/1/3
成都,黔西南布依族苗族自治州,贵州省,0.05,2020/1/3
成都,徐州市,江苏省,0.05,2020/1/3
成都,嘉兴市,浙江省,0.05,2020/1/3
成都,安顺市,贵州省,0.05,2020/1/3
成都,襄阳市,湖北省,0.05,2020/1/3
成都,大连市,辽宁省,0.05,2020/1/3
成都,新乡市,河南省,0.05,2020/1/3
成都,惠州市,广东省,0.04,2020/1/3
成都,烟台市,山东省,0.04,2020/1/3
成都,德阳市,四川省,10.36,2020/1/4
成都,眉山市,四川省,10.22,2020/1/4
成都,绵阳市,四川省,6.25,2020/1/4
成都,重庆市,重庆市,5.98,2020/1/4
成都,乐山市,四川省,5.04,2020/1/4
成都,资阳市,四川省,4.78,2020/1/4
成都,南充市,四川省,4.77,2020/1/4
成都,内江市,四川省,4.21,2020/1/4
成都,阿坝藏族羌族自治州,四川省,3.61,2020/1/4
成都,遂宁市,四川省,3.59,2020/1/4
成都,雅安市,四川省,3.13,2020/1/4
成都,宜宾市,四川省,2.86,2020/1/4
成都,达州市,四川省,2.8,2020/1/4
成都,凉山彝族自治州,四川省,2.25,2020/1/4
成都,自贡市,四川省,2.19,2020/1/4
成都,巴中市,四川省,2.06,2020/1/4
成都,泸州市,四川省,1.95,2020/1/4
成都,广元市,四川省,1.86,2020/1/4
成都,广安市,四川省,1.44,2020/1/4
成都,甘孜藏族自治州,四川省,1.13,2020/1/4
成都,北京市,北京市,1.07,2020/1/4
成都,西安市,陕西省,0.82,2020/1/4
成都,攀枝花市,四川省,0.74,2020/1/4
成都,上海市,上海市,0.64,2020/1/4
成都,昆明市,云南省,0.58,2020/1/4
成都,贵阳市,贵州省,0.54,2020/1/4
成都,深圳市,广东省,0.51,2020/1/4
成都,广州市,广东省,0.45,2020/1/4
成都,遵义市,贵州省,0.37,2020/1/4
成都,昭通市,云南省,0.33,2020/1/4
成都,武汉市,湖北省,0.3,2020/1/4
成都,三亚市,海南省,0.27,2020/1/4
成都,杭州市,浙江省,0.26,2020/1/4
成都,西宁市,青海省,0.23,2020/1/4
成都,郑州市,河南省,0.23,2020/1/4
成都,长沙市,湖南省,0.23,2020/1/4
成都,汉中市,陕西省,0.21,2020/1/4
成都,兰州市,甘肃省,0.21,2020/1/4
成都,南京市,江苏省,0.21,2020/1/4
成都,乌鲁木齐市,新疆维吾尔自治区,0.17,2020/1/4
成都,天津市,天津市,0.17,2020/1/4
成都,东莞市,广东省,0.16,2020/1/4
成都,毕节市,贵州省,0.16,2020/1/4
成都,苏州市,江苏省,0.15,2020/1/4
成都,南宁市,广西壮族自治区,0.15,2020/1/4
成都,拉萨市,西藏自治区,0.14,2020/1/4
成都,陇南市,甘肃省,0.14,2020/1/4
成都,石家庄市,河北省,0.14,2020/1/4
成都,合肥市,安徽省,0.14,2020/1/4
成都,南昌市,江西省,0.13,2020/1/4
成都,厦门市,福建省,0.13,2020/1/4
成都,太原市,山西省,0.13,2020/1/4
成都,济南市,山东省,0.12,2020/1/4
成都,哈尔滨市,黑龙江省,0.11,2020/1/4
成都,无锡市,江苏省,0.11,2020/1/4
成都,大理白族自治州,云南省,0.11,2020/1/4
成都,黔南布依族苗族自治州,贵州省,0.11,2020/1/4
成都,青岛市,山东省,0.11,2020/1/4
成都,丽江市,云南省,0.1,2020/1/4
成都,佛山市,广东省,0.1,2020/1/4
成都,沈阳市,辽宁省,0.1,2020/1/4
成都,恩施土家族苗族自治州,湖北省,0.1,2020/1/4
成都,福州市,福建省,0.1,2020/1/4
成都,宁波市,浙江省,0.1,2020/1/4
成都,咸阳市,陕西省,0.09,2020/1/4
成都,荆州市,湖北省,0.09,2020/1/4
成都,银川市,宁夏回族自治区,0.09,2020/1/4
成都,海口市,海南省,0.09,2020/1/4
成都,邯郸市,河北省,0.08,2020/1/4
成都,温州市,浙江省,0.08,2020/1/4
成都,保定市,河北省,0.08,2020/1/4
成都,泉州市,福建省,0.08,2020/1/4
成都,曲靖市,云南省,0.08,2020/1/4
成都,西双版纳傣族自治州,云南省,0.08,2020/1/4
成都,洛阳市,河南省,0.07,2020/1/4
成都,宝鸡市,陕西省,0.07,2020/1/4
成都,北海市,广西壮族自治区,0.07,2020/1/4
成都,桂林市,广西壮族自治区,0.07,2020/1/4
成都,六盘水市,贵州省,0.07,2020/1/4
成都,宜昌市,湖北省,0.07,2020/1/4
成都,海东市,青海省,0.07,2020/1/4
成都,大连市,辽宁省,0.06,2020/1/4
成都,常州市,江苏省,0.06,2020/1/4
成都,运城市,山西省,0.06,2020/1/4
成都,惠州市,广东省,0.06,2020/1/4
成都,襄阳市,湖北省,0.06,2020/1/4
成都,南阳市,河南省,0.06,2020/1/4
成都,金华市,浙江省,0.06,2020/1/4
成都,天水市,甘肃省,0.06,2020/1/4
成都,长春市,吉林省,0.06,2020/1/4
成都,安康市,陕西省,0.06,2020/1/4
成都,珠海市,广东省,0.06,2020/1/4
成都,中山市,广东省,0.06,2020/1/4
成都,嘉兴市,浙江省,0.05,2020/1/4
成都,渭南市,陕西省,0.05,2020/1/4
成都,潍坊市,山东省,0.05,2020/1/4
成都,菏泽市,山东省,0.05,2020/1/4
成都,徐州市,江苏省,0.05,2020/1/4
成都,临汾市,山西省,0.05,2020/1/4
成都,临沂市,山东省,0.05,2020/1/4
成都,德阳市,四川省,9.08,2020/1/5
成都,眉山市,四川省,8.78,2020/1/5
成都,重庆市,重庆市,6.23,2020/1/5
成都,绵阳市,四川省,5.78,2020/1/5
成都,南充市,四川省,4.82,2020/1/5
成都,资阳市,四川省,4.75,2020/1/5
成都,乐山市,四川省,4.29,2020/1/5
成都,内江市,四川省,4.27,2020/1/5
成都,遂宁市,四川省,3.64,2020/1/5
成都,阿坝藏族羌族自治州,四川省,3.6,2020/1/5
成都,达州市,四川省,3.3,2020/1/5
成都,宜宾市,四川省,3.21,2020/1/5
成都,雅安市,四川省,3.19,2020/1/5
成都,自贡市,四川省,2.38,2020/1/5
成都,巴中市,四川省,2.36,2020/1/5
成都,凉山彝族自治州,四川省,2.33,2020/1/5
成都,泸州市,四川省,2.04,2020/1/5
成都,广元市,四川省,2.03,2020/1/5
成都,广安市,四川省,1.57,2020/1/5
成都,北京市,北京市,1.46,2020/1/5
成都,甘孜藏族自治州,四川省,1.22,2020/1/5
成都,西安市,陕西省,1.04,2020/1/5
成都,上海市,上海市,0.81,2020/1/5
成都,攀枝花市,四川省,0.73,2020/1/5
成都,贵阳市,贵州省,0.71,2020/1/5
成都,昆明市,云南省,0.67,2020/1/5
成都,深圳市,广东省,0.56,2020/1/5
成都,广州市,广东省,0.52,2020/1/5
成都,遵义市,贵州省,0.39,2020/1/5
成都,武汉市,湖北省,0.36,2020/1/5
成都,昭通市,云南省,0.33,2020/1/5
成都,杭州市,浙江省,0.32,2020/1/5
成都,三亚市,海南省,0.28,2020/1/5
成都,郑州市,河南省,0.28,2020/1/5
成都,兰州市,甘肃省,0.27,2020/1/5
成都,长沙市,湖南省,0.24,2020/1/5
成都,南京市,江苏省,0.24,2020/1/5
成都,毕节市,贵州省,0.22,2020/1/5
成都,汉中市,陕西省,0.2,2020/1/5
成都,天津市,天津市,0.2,2020/1/5
成都,拉萨市,西藏自治区,0.2,2020/1/5
成都,西宁市,青海省,0.2,2020/1/5
成都,乌鲁木齐市,新疆维吾尔自治区,0.17,2020/1/5
成都,南宁市,广西壮族自治区,0.16,2020/1/5
成都,苏州市,江苏省,0.16,2020/1/5
成都,南昌市,江西省,0.15,2020/1/5
成都,石家庄市,河北省,0.15,2020/1/5
成都,合肥市,安徽省,0.15,2020/1/5
成都,厦门市,福建省,0.14,2020/1/5
成都,太原市,山西省,0.14,2020/1/5
成都,陇南市,甘肃省,0.14,2020/1/5
成都,青岛市,山东省,0.14,2020/1/5
成都,无锡市,江苏省,0.13,2020/1/5
成都,济南市,山东省,0.13,2020/1/5
成都,黔南布依族苗族自治州,贵州省,0.12,2020/1/5
成都,大理白族自治州,云南省,0.12,2020/1/5
成都,福州市,福建省,0.12,2020/1/5
成都,海口市,海南省,0.12,2020/1/5
成都,佛山市,广东省,0.12,2020/1/5
成都,东莞市,广东省,0.11,2020/1/5
成都,哈尔滨市,黑龙江省,0.11,2020/1/5
成都,沈阳市,辽宁省,0.11,2020/1/5
成都,丽江市,云南省,0.11,2020/1/5
成都,咸阳市,陕西省,0.1,2020/1/5
成都,北海市,广西壮族自治区,0.09,2020/1/5
成都,洛阳市,河南省,0.09,2020/1/5
成都,温州市,浙江省,0.08,2020/1/5
成都,曲靖市,云南省,0.08,2020/1/5
成都,恩施土家族苗族自治州,湖北省,0.08,2020/1/5
成都,荆州市,湖北省,0.08,2020/1/5
成都,银川市,宁夏回族自治区,0.08,2020/1/5
成都,六盘水市,贵州省,0.08,2020/1/5
成都,宜昌市,湖北省,0.08,2020/1/5
成都,南阳市,河南省,0.08,2020/1/5
成都,宁波市,浙江省,0.08,2020/1/5
成都,泉州市,福建省,0.08,2020/1/5
成都,长春市,吉林省,0.07,2020/1/5
成都,大连市,辽宁省,0.07,2020/1/5
成都,保定市,河北省,0.07,2020/1/5
成都,运城市,山西省,0.07,2020/1/5
成都,渭南市,陕西省,0.07,2020/1/5
成都,宝鸡市,陕西省,0.07,2020/1/5
成都,安康市,陕西省,0.07,2020/1/5
成都,西双版纳傣族自治州,云南省,0.07,2020/1/5
成都,珠海市,广东省,0.07,2020/1/5
成都,常州市,江苏省,0.06,2020/1/5
成都,桂林市,广西壮族自治区,0.06,2020/1/5
成都,邯郸市,河北省,0.06,2020/1/5
成都,安顺市,贵州省,0.06,2020/1/5
成都,黔东南苗族侗族自治州,贵州省,0.06,2020/1/5
成都,惠州市,广东省,0.06,2020/1/5
成都,新乡市,河南省,0.06,2020/1/5
成都,南通市,江苏省,0.05,2020/1/5
成都,金华市,浙江省,0.05,2020/1/5
成都,嘉兴市,浙江省,0.05,2020/1/5
成都,铜仁市,贵州省,0.05,2020/1/5
成都,徐州市,江苏省,0.05,2020/1/5
成都,呼和浩特市,内蒙古自治区,0.05,2020/1/5
成都,廊坊市,河北省,0.05,2020/1/5
成都,商丘市,河南省,0.05,2020/1/5
成都,德阳市,四川省,8.98,2020/1/6
成都,眉山市,四川省,8.52,2020/1/6
成都,重庆市,重庆市,6.23,2020/1/6
成都,绵阳市,四川省,5.56,2020/1/6
成都,南充市,四川省,5.07,2020/1/6
成都,资阳市,四川省,4.4,2020/1/6
成都,乐山市,四川省,4.15,2020/1/6
成都,内江市,四川省,4.03,2020/1/6
成都,遂宁市,四川省,3.52,2020/1/6
成都,宜宾市,四川省,3.22,2020/1/6
成都,达州市,四川省,3.1,2020/1/6
成都,阿坝藏族羌族自治州,四川省,3.07,2020/1/6
成都,雅安市,四川省,2.8,2020/1/6
成都,凉山彝族自治州,四川省,2.43,2020/1/6
成都,巴中市,四川省,2.39,2020/1/6
成都,自贡市,四川省,2.18,2020/1/6
成都,泸州市,四川省,2.08,2020/1/6
成都,广元市,四川省,2.04,2020/1/6
成都,北京市,北京市,1.71,2020/1/6
成都,广安市,四川省,1.55,2020/1/6
成都,西安市,陕西省,1.09,2020/1/6
成都,甘孜藏族自治州,四川省,1.04,2020/1/6
成都,上海市,上海市,0.91,2020/1/6
成都,攀枝花市,四川省,0.83,2020/1/6
成都,昆明市,云南省,0.8,2020/1/6
成都,贵阳市,贵州省,0.67,2020/1/6
成都,深圳市,广东省,0.65,2020/1/6
成都,广州市,广东省,0.56,2020/1/6
成都,遵义市,贵州省,0.4,2020/1/6
成都,武汉市,湖北省,0.37,2020/1/6
成都,昭通市,云南省,0.35,2020/1/6
成都,南京市,江苏省,0.33,2020/1/6
成都,杭州市,浙江省,0.33,2020/1/6
成都,郑州市,河南省,0.32,2020/1/6
成都,兰州市,甘肃省,0.31,2020/1/6
成都,三亚市,海南省,0.3,2020/1/6
成都,长沙市,湖南省,0.27,2020/1/6
成都,汉中市,陕西省,0.22,2020/1/6
成都,毕节市,贵州省,0.21,2020/1/6
成都,西宁市,青海省,0.2,2020/1/6
成都,乌鲁木齐市,新疆维吾尔自治区,0.2,2020/1/6
成都,天津市,天津市,0.19,2020/1/6
成都,拉萨市,西藏自治区,0.19,2020/1/6
成都,石家庄市,河北省,0.19,2020/1/6
成都,南宁市,广西壮族自治区,0.19,2020/1/6
成都,苏州市,江苏省,0.18,2020/1/6
成都,太原市,山西省,0.18,2020/1/6
成都,合肥市,安徽省,0.17,2020/1/6
成都,青岛市,山东省,0.16,2020/1/6
成都,陇南市,甘肃省,0.14,2020/1/6
成都,南昌市,江西省,0.14,2020/1/6
成都,东莞市,广东省,0.14,2020/1/6
成都,济南市,山东省,0.14,2020/1/6
成都,佛山市,广东省,0.14,2020/1/6
成都,厦门市,福建省,0.14,2020/1/6
成都,大理白族自治州,云南省,0.14,2020/1/6
成都,丽江市,云南省,0.13,2020/1/6
成都,哈尔滨市,黑龙江省,0.13,2020/1/6
成都,沈阳市,辽宁省,0.13,2020/1/6
成都,无锡市,江苏省,0.12,2020/1/6
成都,福州市,福建省,0.12,2020/1/6
成都,咸阳市,陕西省,0.12,2020/1/6
成都,银川市,宁夏回族自治区,0.11,2020/1/6
成都,黔南布依族苗族自治州,贵州省,0.11,2020/1/6
成都,西双版纳傣族自治州,云南省,0.11,2020/1/6
成都,海口市,海南省,0.11,2020/1/6
成都,长春市,吉林省,0.1,2020/1/6
成都,北海市,广西壮族自治区,0.1,2020/1/6
成都,曲靖市,云南省,0.09,2020/1/6
成都,荆州市,湖北省,0.09,2020/1/6
成都,宜昌市,湖北省,0.09,2020/1/6
成都,宁波市,浙江省,0.09,2020/1/6
