主城市,迁出城市,迁出省份,比例,日期
成都,德阳市,四川省,11.94,2020/1/1
成都,眉山市,四川省,11.45,2020/1/1
成都,绵阳市,四川省,6.46,2020/1/1
成都,重庆市,重庆市,5.91,2020/1/1
成都,资阳市,四川省,5.54,2020/1/1
成都,南充市,四川省,4.63,2020/1/1
成都,乐山市,四川省,4.49,2020/1/1
成都,内江市,四川省,4.21,2020/1/1
成都,遂宁市,四川省,3.9,2020/1/1
成都,阿坝藏族羌族自治州,四川省,3.58,2020/1/1
成都,雅安市,四川省,3.4,2020/1/1
成都,宜宾市,四川省,2.48,2020/1/1
成都,达州市,四川省,2.44,2020/1/1
成都,自贡市,四川省,2.1,2020/1/1
成都,广元市,四川省,2,2020/1/1
成都,凉山彝族自治州,四川省,1.94,2020/1/1
成都,巴中市,四川省,1.93,2020/1/1
成都,泸州市,四川省,1.64,2020/1/1
成都,广安市,四川省,1.34,2020/1/1
成都,北京市,北京市,1.04,2020/1/1
成都,甘孜藏族自治州,四川省,0.91,2020/1/1
成都,西安市,陕西省,0.88,2020/1/1
成都,上海市,上海市,0.67,2020/1/1
成都,攀枝花市,四川省,0.6,2020/1/1
成都,贵阳市,贵州省,0.53,2020/1/1
成都,昆明市,云南省,0.53,2020/1/1
成都,广州市,广东省,0.5,2020/1/1
成都,深圳市,广东省,0.48,2020/1/1
成都,昭通市,云南省,0.32,2020/1/1
成都,遵义市,贵州省,0.31,2020/1/1
成都,武汉市,湖北省,0.28,2020/1/1
成都,三亚市,海南省,0.26,2020/1/1
成都,汉中市,陕西省,0.25,2020/1/1
成都,郑州市,河南省,0.23,2020/1/1
成都,杭州市,浙江省,0.21,2020/1/1
成都,兰州市,甘肃省,0.21,2020/1/1
成都,长沙市,湖南省,0.2,2020/1/1
成都,拉萨市,西藏自治区,0.17,2020/1/1
成都,南京市,江苏省,0.17,2020/1/1
成都,西宁市,青海省,0.17,2020/1/1
成都,天津市,天津市,0.16,2020/1/1
成都,毕节市,贵州省,0.15,2020/1/1
成都,苏州市,江苏省,0.15,2020/1/1
成都,陇南市,甘肃省,0.15,2020/1/1
成都,咸阳市,陕西省,0.13,2020/1/1
成都,南宁市,广西壮族自治区,0.13,2020/1/1
成都,乌鲁木齐市,新疆维吾尔自治区,0.13,2020/1/1
成都,济南市,山东省,0.12,2020/1/1
成都,太原市,山西省,0.12,2020/1/1
成都,东莞市,广东省,0.12,2020/1/1
成都,青岛市,山东省,0.12,2020/1/1
成都,合肥市,安徽省,0.11,2020/1/1
成都,丽江市,云南省,0.11,2020/1/1
成都,厦门市,福建省,0.11,2020/1/1
成都,沈阳市,辽宁省,0.11,2020/1/1
成都,石家庄市,河北省,0.11,2020/1/1
成都,南昌市,江西省,0.1,2020/1/1
成都,佛山市,广东省,0.1,2020/1/1
成都,哈尔滨市,黑龙江省,0.1,2020/1/1
成都,大理白族自治州,云南省,0.1,2020/1/1
成都,长春市,吉林省,0.09,2020/1/1
成都,恩施土家族苗族自治州,湖北省,0.09,2020/1/1
成都,温州市,浙江省,0.09,2020/1/1
成都,福州市,福建省,0.08,2020/1/1
